year,brand,model_name,price,distance_travelled(kms),fuel_type,city,brand_rank,car_age
2016,7,28,425000.0,9680.0,3,9,7,5.0
2012,23,129,325000.0,119120.0,1,9,11,9.0
2017,28,69,2650000.0,64593.0,1,14,1,4.0
2017,21,51,4195000.0,25000.0,1,9,2,4.0
2012,8,144,475000.0,23800.0,1,9,14,9.0
2012,8,167,335000.0,45000.0,3,9,14,9.0
2019,28,80,750000.0,19500.0,3,9,1,2.0
2018,21,76,5500000.0,32000.0,1,9,2,3.0
2017,8,81,565000.0,44329.0,3,9,14,4.0
2015,20,131,510000.0,48286.0,3,9,32,6.0
2015,8,161,465000.00000000006,24935.0,3,9,14,6.0
2016,28,87,1485000.0,59758.0,1,9,1,5.0
2017,20,25,610000.0,40119.0,3,9,32,4.0
2016,25,109,365000.0,22625.0,3,9,15,5.0
2017,20,25,699000.0,16540.0,3,9,32,4.0
2016,8,161,595000.0,41280.0,3,9,14,5.0
2016,28,43,1035000.0,97679.0,3,9,1,5.0
2015,20,131,575000.0,43000.0,1,9,32,6.0
2015,29,108,480000.0,14846.0,3,9,3,6.0
2017,7,146,749000.0,28771.0,3,9,7,4.0
2018,7,146,749000.0,33443.0,3,9,7,3.0
2010,20,116,265000.0,24000.0,3,9,32,11.0
2013,8,81,340000.0,44380.0,3,9,14,8.0
2016,26,115,675000.0,58000.0,1,9,27,5.0
2016,7,38,685000.0,69380.0,1,9,7,5.0
2016,20,36,445000.0,39500.0,3,9,32,5.0
2012,1,0,925000.0,74460.0,1,9,4,9.0
2017,21,76,4550000.0,42442.0,1,9,2,4.0
2014,29,141,485000.0,65327.0,3,9,3,7.0
2016,7,88,635000.0,19768.0,3,9,7,5.0
2016,27,102,215000.0,2814.0,3,9,40,5.0
2015,8,81,445000.0,20100.0,3,9,14,6.0
2015,21,74,1950000.0,52717.0,1,9,2,6.0
2015,8,81,445000.0,20100.0,3,9,14,6.0
2012,20,8,275000.0,46646.0,3,9,32,9.0
2014,0,111,1875000.0,49000.0,1,9,10,7.0
2018,21,76,5500000.0,32000.0,1,9,2,3.0
2020,1,148,3500000.0,5550.0,3,9,4,1.0
2010,1,164,2900000.0,48000.0,3,9,4,11.0
2016,0,9,1525000.0,31000.0,1,9,10,5.0
2012,0,10,975000.0,61000.0,3,9,10,9.0
2014,1,149,2350000.0,65000.0,1,9,4,7.0
2010,2,41,7600000.0,49000.0,3,9,44,11.0
2014,0,110,1470000.0,78000.0,1,9,10,7.0
2010,0,112,1550000.0,82000.0,1,9,10,11.0
2017,21,74,2350000.0,24000.0,3,9,2,4.0
2013,21,51,3850000.0,6000.0,3,9,2,8.0
2016,21,74,2000000.0,33000.0,3,9,2,5.0
2014,0,112,2250000.0,107000.0,1,9,10,7.0
2015,1,0,2125000.0,71000.0,1,9,4,6.0
2015,21,51,1900000.0,94000.0,1,9,2,6.0
2012,21,51,1250000.0,55000.0,3,9,2,9.0
2013,0,10,1150000.0,79000.0,1,9,10,8.0
2014,0,11,1550000.0,71000.0,1,9,10,7.0
2012,21,51,1125000.0,65000.0,3,9,2,9.0
2018,21,51,4250000.0,34000.0,3,9,2,3.0
2013,0,112,2175000.0,80000.0,1,9,10,8.0
2010,21,51,975000.0,67000.0,3,9,2,11.0
2009,1,5,1850000.0,27000.0,3,9,4,12.0
2014,0,11,1650000.0,76000.0,1,9,10,7.0
2018,6,57,2900000.0,11100.0,1,14,8,3.0
2006,20,131,175000.0,79915.0,3,14,32,15.0
2013,20,131,449000.0,67664.0,1,9,32,8.0
2016,18,160,1275000.0,72000.0,1,9,24,5.0
2018,1,148,2500000.0,33500.0,1,3,4,3.0
2016,1,164,4850000.0,26700.0,3,3,4,5.0
2017,10,64,3700000.0,45700.0,1,3,40,4.0
2018,10,155,3500000.0,23500.0,1,3,40,3.0
2012,13,79,12500000.0,14500.0,3,3,45,9.0
2020,17,44,3850000.0,6517.0,3,3,39,1.0
2014,21,29,2700000.0,22000.0,3,3,2,7.0
2017,21,29,2900000.0,44000.0,1,3,2,4.0
2018,0,11,3750000.0,22000.0,1,3,10,3.0
2015,1,5,3700000.0,66000.0,1,3,4,6.0
2015,1,5,3700000.0,48000.0,1,3,4,6.0
2013,1,5,2900000.0,59000.0,1,3,4,8.0
2012,14,63,1900000.0,127000.0,1,3,18,9.0
2018,14,63,4900000.0,19500.0,1,3,18,3.0
2018,14,63,4800000.0,29500.0,1,3,18,3.0
2016,21,117,5700000.0,56500.0,1,3,2,5.0
2015,25,95,565000.0,85400.0,1,9,15,6.0
2013,7,38,418000.0,98602.0,3,9,7,8.0
2016,21,30,2150000.0,28000.0,3,9,2,5.0
2021,8,45,2095000.0,7500.0,1,9,14,0.0
2016,10,64,3750000.0,33000.0,1,9,40,5.0
2021,8,45,2050000.0,4500.0,3,9,14,0.0
2015,1,0,1825000.0,65000.0,1,9,4,6.0
2008,0,112,850000.0,84500.0,1,9,10,13.0
2011,21,117,1650000.0,55000.0,1,9,2,10.0
2012,0,111,1350000.0,99000.0,1,9,10,9.0
2012,0,12,2750000.0,25000.0,1,9,10,9.0
2011,1,5,1650000.0,65000.0,3,9,4,10.0
2012,21,117,1950000.0,71000.0,1,9,2,9.0
2013,21,23,1050000.0,67000.0,3,9,2,8.0
2007,1,0,425000.0,48000.0,1,9,4,14.0
2016,21,117,5700000.0,56500.0,1,3,2,5.0
2012,14,63,1900000.0,127000.0,1,3,18,9.0
2018,14,63,4900000.0,19500.0,1,3,18,3.0
2018,14,63,4800000.0,29500.0,1,3,18,3.0
2010,21,51,1050000.0,55000.0,3,9,2,11.0
2015,21,7,1375000.0,61000.0,1,9,2,6.0
2019,1,148,3499000.0,26000.0,1,9,4,2.0
2019,1,3,4975000.0,25000.0,1,9,4,2.0
2010,28,43,375000.0,46000.0,3,9,1,11.0
2010,0,111,999000.0,59000.0,3,9,10,11.0
2015,14,63,2600000.0,77000.0,1,9,18,6.0
2017,28,87,1575000.0,60000.0,1,9,1,4.0
2014,28,87,950000.0,91000.0,1,9,1,7.0
2015,17,42,2500000.0,14000.0,1,9,39,6.0
2017,23,133,690000.0,21000.0,3,9,11,4.0
2017,6,57,2975000.0,12000.0,1,9,8,4.0
2008,1,0,450000.0,70000.0,3,9,4,13.0
2016,8,45,1090000.0,39000.0,3,9,14,5.0
2012,1,149,1675000.0,59000.0,1,9,4,9.0
2014,7,32,1200000.0,108200.0,3,9,7,7.0
2014,14,70,1950000.0,61000.0,1,9,18,7.0
2015,20,37,575000.0,52000.0,3,9,32,6.0
2010,3,26,115000.0,82000.0,3,9,12,11.0
2017,28,87,1760000.0000000002,56089.0,1,14,1,4.0
2014,0,110,1650000.0,45095.0,1,14,10,7.0
2017,18,91,575000.0,12321.0,1,14,24,4.0
2017,18,160,1325000.0,67894.0,1,14,24,4.0
2014,25,49,625000.0,44835.0,1,14,15,7.0
2013,28,69,1451000.0,118363.0,1,14,1,8.0
2015,8,167,525000.0,98877.0,3,14,14,6.0
2019,4,168,310000.0,41298.0,3,14,50,2.0
2016,20,25,675000.0,57209.0,1,14,32,5.0
2017,7,88,610000.0,49390.0,3,14,7,4.0
2013,23,129,345000.0,30477.0,3,14,11,8.0
2012,29,108,325000.0,49000.0,3,9,3,9.0
2016,27,135,465000.00000000006,19000.0,3,9,40,5.0
2020,27,16,815000.0,7500.0,3,9,40,1.0
2018,18,132,775000.0,54989.0,1,14,24,3.0
2017,20,145,891000.0,22388.0,1,14,32,4.0
2015,7,38,660000.0,46475.0,3,14,7,6.0
2014,28,62,350000.0,31913.0,3,14,1,7.0
2015,8,81,470000.0,55474.0,3,14,14,6.0
2014,6,67,335000.0,68051.0,1,14,8,7.0
2011,7,38,345000.0,44000.0,3,9,7,10.0
2011,7,39,345000.0,36500.0,3,9,7,10.0
2018,17,44,3445000.0000000005,3900.0,1,9,39,3.0
2012,26,115,335000.0,37000.0,3,9,27,9.0
2018,8,167,790000.0,42000.0,1,9,14,3.0
2019,11,40,1450000.0,39500.0,1,9,19,2.0
2017,8,56,595000.0,32000.0,3,9,14,4.0
2012,20,116,315000.0,56452.0,3,9,32,9.0
2015,21,29,2500000.0,22341.0,1,9,2,6.0
2018,18,27,655000.0,85000.0,1,9,24,3.0
2018,18,27,675000.0,58000.0,1,9,24,3.0
2014,21,29,1750000.0,21212.0,1,9,2,7.0
2012,20,122,315000.0,68890.0,3,9,32,9.0
2016,24,35,7800000.0,31000.0,1,9,5,5.0
2012,7,38,489000.0,49000.0,3,10,7,9.0
2007,21,29,375000.0,115140.0,3,9,2,14.0
2013,0,111,1600000.0,74000.0,1,3,10,8.0
2014,0,112,2800000.0,54500.0,1,3,10,7.0
2015,1,3,2350000.0,77000.0,1,3,4,6.0
2013,0,10,1450000.0,63700.0,1,3,10,8.0
2013,0,11,1650000.0,64000.0,1,3,10,8.0
2018,0,110,2800000.0,43000.0,1,3,10,3.0
2020,14,63,5900000.0,9000.0,1,3,18,1.0
2016,30,140,1750000.0,78000.0,1,3,9,5.0
2011,3,26,171000.0,31000.0,3,9,12,10.0
2011,26,130,390000.0,54000.0,3,9,27,10.0
2009,28,87,525000.0,65000.0,1,9,1,12.0
2015,28,87,1050000.0,18000.0,1,9,1,6.0
2015,18,160,890000.0,53000.0,1,9,24,6.0
2015,7,32,1325000.0,42000.0,3,9,7,6.0
2020,8,45,1990000.0,7800.0,1,9,14,1.0
2017,8,56,550000.0,20000.0,3,9,14,4.0
2018,20,50,785000.0,27000.0,1,14,32,3.0
2013,0,112,2050000.0,43000.0,1,9,10,8.0
2015,1,0,2350000.0,37000.0,1,9,4,6.0
2018,18,160,1445000.0,34000.0,1,9,24,3.0
2017,8,45,995000.0,38000.0,3,9,14,4.0
2017,21,30,4300000.0,17000.0,3,3,2,4.0
2018,18,160,1445000.0,34000.0,1,9,24,3.0
2017,8,45,995000.0,38000.0,3,9,14,4.0
2009,28,87,525000.0,65000.0,1,9,1,12.0
2011,3,26,171000.0,31000.0,3,9,12,10.0
2017,8,56,550000.0,20000.0,3,9,14,4.0
2020,8,45,1990000.0,7800.0,1,9,14,1.0
2020,8,45,2025000.0,9000.0,3,9,14,1.0
2014,21,117,4700000.0,49000.0,1,10,2,7.0
2019,8,45,1550000.0,10500.0,3,10,14,2.0
2018,7,88,640000.0,33000.0,3,10,7,3.0
2013,20,122,399000.0,47284.0,3,9,32,8.0
2015,29,141,521000.0,62618.0,3,9,3,6.0
2020,21,29,4750000.0,4200.0,1,9,2,1.0
2017,8,144,675000.0,31414.0,3,9,14,4.0
2016,8,56,650000.0,24694.0,3,9,14,5.0
2013,8,166,325000.0,29708.0,3,9,14,8.0
2012,28,62,375000.0,40200.0,3,14,1,9.0
2015,28,87,1030000.0,156334.0,1,14,1,6.0
2013,20,116,365000.0,32000.0,3,14,32,8.0
2021,20,25,900000.0,350.0,3,9,32,0.0
2015,27,165,495000.0,61649.0,1,14,40,6.0
2016,7,24,855000.0000000001,28367.0,3,14,7,5.0
2019,20,118,985000.0,33997.0,1,14,32,2.0
2011,7,38,465000.00000000006,47209.0,3,14,7,10.0
2013,8,55,675000.0,62812.0,1,14,14,8.0
2014,20,37,645000.0,52204.0,3,14,32,7.0
2011,7,28,295000.0,39295.0,3,14,7,10.0
2017,8,81,521000.0,54803.0,3,14,14,4.0
2014,28,87,975000.0,150116.0,1,14,1,7.0
2016,20,25,621000.0,48968.0,3,14,32,5.0
2017,20,145,894999.9999999999,43494.0,1,14,32,4.0
2017,23,129,635000.0,41584.0,3,14,11,4.0
2016,8,45,1145000.0,56839.0,1,14,14,5.0
2012,8,166,315000.0,34600.0,3,14,14,9.0
2014,25,49,545000.0,77082.0,1,14,15,7.0
2016,20,37,615000.0,52000.0,1,9,32,5.0
2014,0,110,1455000.0,65000.0,1,9,10,7.0
2012,8,167,349000.0,84000.0,1,10,14,9.0
2017,20,37,775000.0,39535.0,1,14,32,4.0
2015,28,62,499000.0,39792.0,3,14,1,6.0
2016,28,43,1095000.0,31552.0,3,14,1,5.0
2015,8,144,725000.0,37399.0,3,14,14,6.0
2012,28,87,765000.0,158359.0,1,14,1,9.0
2016,20,25,699000.0,22272.0,3,14,32,5.0
2017,18,160,1545000.0,39700.0,1,14,24,4.0
2017,8,45,1195000.0,30958.0,3,14,14,4.0
2018,7,146,894999.9999999999,32202.0,1,14,7,3.0
2018,14,48,4190000.0,65000.0,1,9,18,3.0
2018,21,30,3000000.0,10000.0,1,9,2,3.0
2020,29,108,1025000.0,2608.0,3,9,3,1.0
2021,26,130,3495000.0000000005,7500.0,3,9,27,0.0
2018,21,30,2795000.0,34000.0,1,9,2,3.0
2016,18,160,1325000.0,41000.0,1,9,24,5.0
2007,7,32,290000.0,195000.0,3,9,7,14.0
2017,8,45,1100000.0,43100.0,3,9,14,4.0
2018,21,30,2650000.0,17300.0,3,9,2,3.0
2012,7,14,450000.0,61700.0,3,9,7,9.0
2016,20,131,650000.0,68003.0,1,9,32,5.0
2016,21,29,2200000.0,85000.0,1,9,2,5.0
2009,8,144,197000.0,98000.0,1,9,14,12.0
2014,1,148,1275000.0,45000.0,1,9,4,7.0
2015,29,141,615000.0,33000.0,3,9,3,6.0
2018,7,24,1045000.0,4000.0,3,9,7,3.0
2012,28,62,325000.0,54215.0,4,9,1,9.0
2018,7,38,1051000.0,47000.0,3,9,7,3.0
2018,20,145,975000.0,19000.0,1,9,32,3.0
2015,8,167,695000.0,30000.0,1,9,14,6.0
2012,18,125,567000.0,88000.0,1,9,24,9.0
2018,1,151,5675000.0,21000.0,1,9,4,3.0
2018,14,63,4500000.0,40000.0,1,9,18,3.0
2010,20,61,145000.0,78500.0,3,9,32,11.0
2019,27,135,475000.0,11733.0,3,4,40,2.0
2013,8,144,450000.0,41931.0,3,4,14,8.0
2018,21,51,5175000.0,14880.0,1,4,2,3.0
2014,7,28,300000.0,41606.0,3,11,7,7.0
2018,11,40,1650000.0,16000.0,3,6,19,3.0
2012,10,156,2050000.0,27300.0,1,12,40,9.0
2017,1,148,2700000.0,18500.0,1,4,4,4.0
2014,26,115,445000.0,32000.0,3,4,27,7.0
2013,20,61,215000.0,56567.0,3,4,32,8.0
2014,8,81,365000.0,51000.0,3,4,14,7.0
2015,28,87,925000.0,790000.0,1,4,1,6.0
2009,8,124,150000.0,43000.0,3,4,14,12.0
2009,7,38,260000.0,83000.0,3,4,7,12.0
2011,18,125,465000.00000000006,720000.0,1,4,24,10.0
2015,17,42,1700000.0,45000.0,3,4,39,6.0
2017,18,160,1200000.0,28000.0,1,4,24,4.0
2017,8,45,975000.0,55000.0,3,4,14,4.0
2017,20,145,825000.0,39000.0,1,4,32,4.0
2016,1,0,2500000.0,20000.0,1,4,4,5.0
2008,7,32,390000.0,97000.0,3,4,7,13.0
2019,1,4,5500000.0,18000.0,3,4,4,2.0
2015,4,78,260000.0,54000.0,3,11,50,6.0
2012,29,107,590000.0,88000.0,1,4,3,9.0
2014,1,0,1390000.0,66000.0,1,4,4,7.0
2010,7,88,265000.0,57000.0,3,4,7,11.0
2007,20,147,62500.0,75000.0,3,4,32,14.0
2018,21,29,3500000.0,13000.0,1,4,2,3.0
2017,18,160,1175000.0,59700.0,1,4,24,4.0
2015,29,108,565000.0,57000.0,3,4,3,6.0
2014,8,81,385000.0,34000.0,3,4,14,7.0
2014,7,28,450000.0,68000.0,3,4,7,7.0
2020,8,45,1875000.0,8000.0,3,4,14,1.0
2018,18,91,545000.0,32000.0,1,4,24,3.0
2012,29,90,615000.0,59000.0,1,4,3,9.0
2012,27,102,65000.0,18000.0,3,6,40,9.0
2017,18,160,1050000.0,68000.0,1,4,24,4.0
2016,20,37,599000.0,53357.0,1,6,32,5.0
2016,8,81,425000.0,64000.0,1,4,14,5.0
2017,28,69,2990000.0,38000.0,1,4,1,4.0
2012,21,51,1260000.0,54000.0,3,4,2,9.0
2016,26,130,1650000.0,51000.0,3,4,27,5.0
2018,7,38,1025000.0,31000.0,3,4,7,3.0
2012,7,28,299000.0,85000.0,3,11,7,9.0
2021,27,123,2190000.0,5500.0,1,4,40,0.0
2015,6,53,495000.0,69000.0,3,11,8,6.0
2018,7,38,890000.0,17000.0,3,4,7,3.0
2013,20,131,350000.0,72000.0,1,4,32,8.0
2017,20,25,525000.0,60000.0,3,4,32,4.0
2019,7,38,1200000.0,30500.0,3,4,7,2.0
2020,25,92,445000.0,11000.0,3,11,15,1.0
2017,21,51,2700000.0,41000.0,1,4,2,4.0
2017,6,53,575000.0,60956.0,3,4,8,4.0
2018,8,56,655000.0,30834.0,3,4,14,3.0
2017,7,88,575000.0,28000.0,3,4,7,4.0
2018,20,145,790000.0,39000.0,1,4,32,3.0
2014,20,36,345000.0,65000.0,3,4,32,7.0
2015,8,45,835000.0,69000.0,1,4,14,6.0
2015,1,5,3700000.0,66000.0,1,3,4,6.0
2015,1,5,3700000.0,48000.0,1,3,4,6.0
2013,1,5,2900000.0,59000.0,1,3,4,8.0
2018,1,148,2500000.0,33500.0,1,3,4,3.0
2016,1,164,4850000.0,26700.0,3,3,4,5.0
2017,10,64,3700000.0,45700.0,1,3,40,4.0
2018,10,155,3500000.0,23500.0,1,3,40,3.0
2012,13,79,12500000.0,14500.0,3,3,45,9.0
2020,17,44,3850000.0,6517.0,3,3,39,1.0
2014,21,29,2700000.0,22000.0,3,3,2,7.0
2017,21,29,2900000.0,44000.0,1,3,2,4.0
2018,0,11,3750000.0,22000.0,1,3,10,3.0
2013,0,112,1675000.0,50000.0,1,4,10,8.0
2020,16,83,1950000.0,4500.0,3,4,81,1.0
2018,20,145,769000.0,47201.0,1,4,32,3.0
2017,20,145,825000.0,18500.0,1,4,32,4.0
2017,25,92,345000.0,17453.0,3,4,15,4.0
2015,0,110,1650000.0,67000.0,1,4,10,6.0
2019,8,45,975000.0,18854.0,3,4,14,2.0
2017,27,135,395000.0,32445.0,3,4,40,4.0
2012,20,131,245000.00000000003,66000.0,1,6,32,9.0
2020,8,45,1689999.9999999998,14320.0,3,4,14,1.0
2017,20,145,825000.0,18500.0,1,4,32,4.0
2020,20,145,860000.0,12240.0,3,6,32,1.0
2011,20,131,260000.0,55000.0,4,4,32,10.0
2015,0,110,1650000.0,67000.0,1,4,10,6.0
2014,25,49,445000.0,71000.0,1,11,15,7.0
2017,25,92,345000.0,17453.0,3,4,15,4.0
2020,20,147,565000.0,7823.0,3,4,32,1.0
2020,20,37,1085000.0,8000.0,1,4,32,1.0
2014,7,28,300000.0,41606.0,3,11,7,7.0
2013,0,112,1675000.0,50000.0,1,4,10,8.0
2019,8,45,975000.0,18854.0,3,4,14,2.0
2012,20,131,245000.00000000003,66000.0,1,6,32,9.0
2020,8,45,1689999.9999999998,14320.0,3,4,14,1.0
2014,8,81,365000.0,40000.0,3,11,14,7.0
2015,0,11,1975000.0,75000.0,1,4,10,6.0
2019,8,45,1475000.0,10000.0,3,4,14,2.0
2017,0,112,5900000.0,31000.0,1,4,10,4.0
2019,0,110,3100000.0,14000.0,1,4,10,2.0
2018,1,148,2750000.0,21000.0,1,4,4,3.0
2017,6,100,7200000.0,17000.0,3,4,8,4.0
2015,21,121,3750000.0,32000.0,3,4,2,6.0
2018,1,5,6950000.0,31000.0,1,4,4,3.0
2019,10,155,3300000.0,27000.0,1,4,40,2.0
2019,1,3,5500000.0,9800.0,1,4,4,2.0
2018,1,5,6950000.0,31000.0,1,4,4,3.0
2019,10,155,3300000.0,27000.0,1,4,40,2.0
2019,1,3,5500000.0,9800.0,1,4,4,2.0
2012,26,115,380000.0,30000.0,3,4,27,9.0
2016,21,117,6800000.0,30000.0,3,4,2,5.0
2020,1,152,11500000.0,12000.0,1,4,4,1.0
2019,29,141,1050000.0,38000.0,3,4,3,2.0
2018,24,6,8600000.0,4000.0,3,5,5,3.0
2018,28,87,2050000.0,80000.0,1,4,1,3.0
2012,0,111,1625000.0,14500.0,1,4,10,9.0
2015,14,63,2850000.0,41000.0,1,4,18,6.0
2016,21,30,1851000.0,43000.0,3,4,2,5.0
2018,1,0,3750000.0,18000.0,3,4,4,3.0
2012,27,20,425000.0,2700.0,1,4,40,9.0
2019,21,30,2800000.0,23000.0,1,4,2,2.0
2019,10,64,5100000.0,13000.0,1,4,40,2.0
2020,1,5,12100000.0,12000.0,3,4,4,1.0
2020,11,40,2400000.0,17000.0,1,4,19,1.0
2019,6,57,3000000.0,40000.0,1,4,8,2.0
2018,1,148,2900000.0,32000.0,1,4,4,3.0
2015,0,11,1975000.0,75000.0,1,4,10,6.0
2019,8,45,1475000.0,10000.0,3,4,14,2.0
2018,7,88,695000.0,32000.0,3,0,7,3.0
2014,0,11,1465000.0,75000.0,1,4,10,7.0
2017,18,160,1275000.0,70000.0,1,4,24,4.0
2012,21,51,1260000.0,54000.0,3,4,2,9.0
2018,14,1,14700000.0,25000.0,1,4,18,3.0
2018,28,93,14500000.0,90000.0,1,4,1,3.0
2020,21,75,5800000.0,12000.0,1,4,2,1.0
2019,6,100,7100000.0,7000.0,3,4,8,2.0
2019,15,101,5200000.0,30000.0,3,4,16,2.0
2019,0,112,7300000.0,9000.0,1,4,10,2.0
2021,18,134,1811000.0,490.0,3,4,24,0.0
2017,15,52,3790000.0,16000.0,3,4,16,4.0
2015,0,11,2150000.0,14000.0,1,4,10,6.0
2008,1,3,485000.0,64000.0,3,4,4,13.0
2020,21,77,8400000.0,14800.0,1,4,2,1.0
2014,20,60,550000.0,98500.0,1,8,32,7.0
2018,21,74,2850000.0,55000.0,1,8,2,3.0
2019,20,50,875000.0,15500.0,1,8,32,2.0
2014,8,144,550000.0,115000.0,1,8,14,7.0
2013,0,111,1600000.0,74000.0,1,3,10,8.0
2014,0,112,2800000.0,54500.0,1,3,10,7.0
2015,1,3,2350000.0,77000.0,1,3,4,6.0
2013,0,10,1450000.0,63700.0,1,3,10,8.0
2013,0,11,1650000.0,64000.0,1,3,10,8.0
2018,0,110,2800000.0,43000.0,1,3,10,3.0
2019,28,69,2675000.0,85000.0,1,8,1,2.0
2019,6,53,950000.0,6372.0,3,4,8,2.0
2011,28,43,365000.0,35000.0,3,4,1,10.0
2019,29,19,495000.0,38000.0,3,11,3,2.0
2015,20,131,449000.0,67800.0,3,4,32,6.0
2017,20,145,745000.0,67000.0,1,11,32,4.0
2017,28,87,1571000.0,73009.0,3,4,1,4.0
2017,1,148,2575000.0,60000.0,1,4,4,4.0
2019,14,128,12300000.0,17000.0,1,4,18,2.0
2018,28,69,3075000.0,25000.0,3,4,1,3.0
2018,1,3,3950000.0,55000.0,1,4,4,3.0
2016,7,38,800000.0,38000.0,3,4,7,5.0
2019,0,9,2550000.0,15000.0,3,4,10,2.0
2012,0,112,1650000.0,65000.0,1,4,10,9.0
2015,20,25,465000.00000000006,58000.0,3,11,32,6.0
2019,28,87,2325000.0,38000.0,1,4,1,2.0
2019,27,82,1625000.0,12000.0,1,4,40,2.0
2018,20,37,894999.9999999999,27000.0,3,4,32,3.0
2017,21,30,4300000.0,17000.0,3,3,2,4.0
2016,30,140,1750000.0,78000.0,1,3,9,5.0
2018,21,51,4700000.0,38200.0,1,3,2,3.0
2020,14,63,5900000.0,9000.0,1,3,18,1.0
2018,21,75,4500000.0,43000.0,1,3,2,3.0
2019,21,117,11000000.0,7111.0,1,3,2,2.0
2015,21,74,2050000.0,18000.0,3,3,2,6.0
2018,21,75,4500000.0,43000.0,1,3,2,3.0
2018,21,51,4700000.0,38200.0,1,3,2,3.0
2014,21,7,1275000.0,56000.0,1,4,2,7.0
2017,21,30,2575000.0,22500.0,1,4,2,4.0
2010,22,105,550000.0,75000.0,3,4,46,11.0
2018,1,3,4200000.0,24000.0,1,4,4,3.0
2014,0,112,2390000.0,57000.0,1,4,10,7.0
2020,21,75,5700000.0,9000.0,1,4,2,1.0
